0.000000 1.000000  appears 1times
0.050000 0.997500  appears 5times
0.050000 0.997500  appears 5times
0.050000 0.997500  appears 5times
0.050000 0.997500  appears 5times
0.050000 0.997500  appears 5times
0.100000 0.990000  appears 5times
0.100000 0.990000  appears 5times
0.100000 0.990000  appears 5times
0.100000 0.990000  appears 5times
0.100000 0.990000  appears 5times
0.150000 0.977500  appears 5times
0.150000 0.977500  appears 5times
0.150000 0.977500  appears 5times
0.150000 0.977500  appears 5times
0.150000 0.977500  appears 5times
0.200000 0.960000  appears 5times
0.200000 0.960000  appears 5times
0.200000 0.960000  appears 5times
0.200000 0.960000  appears 5times
0.200000 0.960000  appears 5times
0.250000 0.937500  appears 5times
0.250000 0.937500  appears 5times
0.250000 0.937500  appears 5times
0.250000 0.937500  appears 5times
0.250000 0.937500  appears 5times
0.300000 0.910000  appears 6times
0.300000 0.910000  appears 6times
0.300000 0.910000  appears 6times
0.300000 0.910000  appears 6times
0.300000 0.910000  appears 6times
0.300000 0.910000  appears 6times
0.350000 0.877500  appears 7times
0.350000 0.877500  appears 7times
0.350000 0.877500  appears 7times
0.350000 0.877500  appears 7times
0.350000 0.877500  appears 7times
0.350000 0.877500  appears 7times
0.350000 0.877500  appears 7times
0.400000 0.840000  appears 6times
0.400000 0.840000  appears 6times
0.400000 0.840000  appears 6times
0.400000 0.840000  appears 6times
0.400000 0.840000  appears 6times
0.400000 0.840000  appears 6times
0.450000 0.797500  appears 6times
0.450000 0.797500  appears 6times
0.450000 0.797500  appears 6times
0.450000 0.797500  appears 6times
0.450000 0.797500  appears 6times
0.450000 0.797500  appears 6times
0.500000 0.750000  appears 6times
0.500000 0.750000  appears 6times
0.500000 0.750000  appears 6times
0.500000 0.750000  appears 6times
0.500000 0.750000  appears 6times
0.500000 0.750000  appears 6times
0.550000 0.697500  appears 6times
0.550000 0.697500  appears 6times
0.550000 0.697500  appears 6times
0.550000 0.697500  appears 6times
0.550000 0.697500  appears 6times
0.550000 0.697500  appears 6times
0.600000 0.640000  appears 8times
0.600000 0.640000  appears 8times
0.600000 0.640000  appears 8times
0.600000 0.640000  appears 8times
0.600000 0.640000  appears 8times
0.600000 0.640000  appears 8times
0.600000 0.640000  appears 8times
0.600000 0.640000  appears 8times
0.650000 0.577500  appears 8times
0.650000 0.577500  appears 8times
0.650000 0.577500  appears 8times
0.650000 0.577500  appears 8times
0.650000 0.577500  appears 8times
0.650000 0.577500  appears 8times
0.650000 0.577500  appears 8times
0.650000 0.577500  appears 8times
0.700000 0.510000  appears 11times
0.700000 0.510000  appears 11times
0.700000 0.510000  appears 11times
0.700000 0.510000  appears 11times
0.700000 0.510000  appears 11times
0.700000 0.510000  appears 11times
0.700000 0.510000  appears 11times
0.700000 0.510000  appears 11times
0.700000 0.510000  appears 11times
0.700000 0.510000  appears 11times
0.700000 0.510000  appears 11times
0.750000 0.437500  appears 13times
0.750000 0.437500  appears 13times
0.750000 0.437500  appears 13times
0.750000 0.437500  appears 13times
0.750000 0.437500  appears 13times
0.750000 0.437500  appears 13times
0.750000 0.437500  appears 13times
0.750000 0.437500  appears 13times
0.750000 0.437500  appears 13times
0.750000 0.437500  appears 13times
0.750000 0.437500  appears 13times
0.750000 0.437500  appears 13times
0.750000 0.437500  appears 13times
0.800000 0.360000  appears 13times
0.800000 0.360000  appears 13times
0.800000 0.360000  appears 13times
0.800000 0.360000  appears 13times
0.800000 0.360000  appears 13times
0.800000 0.360000  appears 13times
0.800000 0.360000  appears 13times
0.800000 0.360000  appears 13times
0.800000 0.360000  appears 13times
0.800000 0.360000  appears 13times
0.800000 0.360000  appears 13times
0.800000 0.360000  appears 13times
0.800000 0.360000  appears 13times
0.850000 0.277500  appears 14times
0.850000 0.277500  appears 14times
0.850000 0.277500  appears 14times
0.850000 0.277500  appears 14times
0.850000 0.277500  appears 14times
0.850000 0.277500  appears 14times
0.850000 0.277500  appears 14times
0.850000 0.277500  appears 14times
0.850000 0.277500  appears 14times
0.850000 0.277500  appears 14times
0.850000 0.277500  appears 14times
0.850000 0.277500  appears 14times
0.850000 0.277500  appears 14times
0.850000 0.277500  appears 14times
0.900000 0.190000  appears 13times
0.900000 0.190000  appears 13times
0.900000 0.190000  appears 13times
0.900000 0.190000  appears 13times
0.900000 0.190000  appears 13times
0.900000 0.190000  appears 13times
0.900000 0.190000  appears 13times
0.900000 0.190000  appears 13times
0.900000 0.190000  appears 13times
0.900000 0.190000  appears 13times
0.900000 0.190000  appears 13times
0.900000 0.190000  appears 13times
0.900000 0.190000  appears 13times
0.950000 0.097500  appears 21times
0.950000 0.097500  appears 21times
0.950000 0.097500  appears 21times
0.950000 0.097500  appears 21times
0.950000 0.097500  appears 21times
0.950000 0.097500  appears 21times
0.950000 0.097500  appears 21times
0.950000 0.097500  appears 21times
0.950000 0.097500  appears 21times
0.950000 0.097500  appears 21times
0.950000 0.097500  appears 21times
0.950000 0.097500  appears 21times
0.950000 0.097500  appears 21times
0.950000 0.097500  appears 21times
0.950000 0.097500  appears 21times
0.950000 0.097500  appears 21times
0.950000 0.097500  appears 21times
0.950000 0.097500  appears 21times
0.950000 0.097500  appears 21times
0.950000 0.097500  appears 21times
0.950000 0.097500  appears 21times
1.000000 0.000000  appears 13times
1.000000 0.000000  appears 13times
1.000000 0.000000  appears 13times
1.000000 0.000000  appears 13times
1.000000 0.000000  appears 13times
1.000000 0.000000  appears 13times
1.000000 0.000000  appears 13times
1.000000 0.000000  appears 13times
1.000000 0.000000  appears 13times
1.000000 0.000000  appears 13times
1.000000 0.000000  appears 13times
1.000000 0.000000  appears 13times
1.000000 0.000000  appears 13times
