0.45 0 0 0 0.4 0 0 0.4 0.5 0.4 0 0.4 0.5 0 0.4 0 0.3 0 0.4 0.5 0.2 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.45 2.98184 	
0.45 0 0 0 0.4 0 0 0.4 0.5 0.5 0 0.4 0.5 0 0.4 0 0.3 0 0.4 0.5 0.2 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.45 3.01355 	
0.45 0 0 0 0.4 0 0.1 0.5 0.5 0.5 0.4 0.5 0.5 0 0.4 0 0.3 0 0.4 0.5 0.5 0.5 0.5 0.5 0.2 0.3 0 0.4 0.3 0.3 	0.45 3.58227 	
0.45 0 0 0 0.4 0 0.1 0.5 0.5 0.5 0.4 0.5 0.5 0 0.4 0 0.3 0 0.4 0.5 0.5 0.5 0.5 0.5 0.2 0.3 0 0.4 0.3 0.4 	0.45 3.61377 	
0.5 0 0 0 0.35 0 0 0.4 0.5 0.5 0 0.5 0.5 0 0.4 0 0.3 0 0.4 0.5 0.3 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.5 3.04588 	
0.5 0 0 0 0.35 0 0 0.4 0.5 0.5 0.1 0.5 0.5 0 0.4 0 0.3 0 0.4 0.5 0.5 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.5 3.1413 	
0.5 0 0 0 0.35 0 0 0.4 0.5 0.5 0.2 0.5 0.5 0 0.4 0 0.3 0 0.4 0.5 0.5 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.5 3.17308 	
0.5 0 0 0 0.35 0 0 0.4 0.5 0.5 0.3 0.5 0.5 0 0.4 0 0.3 0 0.4 0.5 0.5 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.5 3.20484 	
0.5 0 0 0 0.35 0 0 0.5 0.5 0.5 0.4 0.5 0.5 0 0.4 0 0.3 0 0.4 0.5 0.5 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.5 3.26832 	
0.5 0 0 0 0.35 0 0.1 0.5 0.5 0.5 0.4 0.5 0.5 0 0.4 0 0.3 0 0.4 0.5 0.5 0.5 0.5 0.5 0.2 0 0 0.3 0.3 0.2 	0.5 3.39514 	
0.5 0 0 0 0.35 0 0.1 0.5 0.5 0.5 0.4 0.5 0.5 0 0.4 0 0.3 0 0.4 0.5 0.5 0.5 0.5 0.5 0.2 0.1 0 0.4 0.3 0.2 	0.5 3.45847 	
0.5 0 0 0 0.35 0 0.1 0.5 0.5 0.5 0.4 0.5 0.5 0 0.4 0 0.3 0 0.4 0.5 0.5 0.5 0.5 0.5 0.2 0.2 0 0.4 0.3 0.2 	0.5 3.49013 	
0.5 0 0 0 0.35 0 0.1 0.5 0.5 0.5 0.4 0.5 0.5 0 0.4 0 0.3 0 0.4 0.5 0.5 0.5 0.5 0.5 0.2 0.3 0 0.4 0.3 0.2 	0.5 3.52177 	
0.5 0 0 0 0.35 0 0.1 0.5 0.5 0.5 0.4 0.5 0.5 0 0.4 0 0.3 0 0.4 0.5 0.5 0.5 0.5 0.5 0.2 0.4 0 0.4 0.3 0.4 	0.5 3.61663 	
0.5 0 0 0 0.35 0 0.1 0.5 0.5 0.5 0.4 0.5 0.5 0 0.4 0 0.3 0 0.4 0.5 0.5 0.5 0.5 0.5 0.2 0.5 0 0.4 0.3 0.4 	0.5 3.64823 	
0.5 0 0 0 0.4 0 0 0.4 0.5 0.3 0 0.4 0.5 0 0.4 0 0.3 0 0.4 0.5 0.2 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.5 2.93438 	
0.5 0 0 0 0.4 0 0 0.4 0.5 0.3 0 0.4 0.5 0 0.4 0 0.3 0 0.4 0.5 0.2 0.5 0.5 0.5 0.2 0 0.05 0 0.3 0.2 	0.5 2.95033 	
0.5 0 0 0 0.4 0 0 0.4 0.5 0.3 0 0.4 0.5 0 0.4 0 0.3 0 0.4 0.5 0.2 0.5 0.5 0.5 0.2 0.05 0 0 0.3 0.2 	0.5 2.95033 	
0.5 0 0 0 0.4 0 0 0.4 0.5 0.3 0 0.4 0.5 0 0.4 0 0.3 0 0.4 0.5 0.2 0.55 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.5 2.95033 	
0.5 0 0 0 0.4 0 0 0.4 0.5 0.3 0 0.4 0.5 0 0.4 0 0.3 0 0.4 0.55 0.2 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.5 2.95033 	
0.5 0 0 0 0.4 0 0 0.4 0.5 0.3 0.05 0.4 0.5 0 0.4 0 0.3 0 0.4 0.5 0.2 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.5 2.95033 	
0.5 0 0 0 0.4 0 0 0.4 0.5 0.35 0 0.4 0.5 0 0.4 0 0.3 0 0.4 0.5 0.2 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.5 2.95033 	
0.5 0 0 0 0.4 0 0 0.4 0.5 0.4 0 0.4 0.5 0 0.4 0 0.3 0 0.4 0.5 0.2 0.5 0.5 0.5 0.15 0 0 0 0.3 0.2 	0.5 2.95033 	
0.5 0 0 0 0.4 0 0 0.4 0.5 0.4 0 0.4 0.5 0 0.4 0 0.3 0 0.4 0.5 0.2 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.5 2.96626 	
0.5 0 0 0 0.4 0 0 0.4 0.5 0.4 0 0.4 0.55 0 0.4 0 0.3 0 0.4 0.5 0.2 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.5 2.98219 	
0.5 0 0 0 0.4 0 0 0.4 0.5 0.45 0 0.4 0.5 0 0.4 0 0.3 0 0.4 0.5 0.2 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.5 2.98219 	
0.5 0 0 0 0.4 0 0 0.4 0.5 0.45 0 0.5 0.5 0 0.4 0 0.3 0 0.4 0.5 0.3 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.5 3.04588 	
0.5 0 0 0 0.4 0 0 0.4 0.5 0.45 0.1 0.5 0.5 0 0.4 0 0.3 0 0.4 0.5 0.5 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.5 3.1413 	
0.5 0 0 0 0.4 0 0 0.4 0.5 0.45 0.2 0.5 0.5 0 0.4 0 0.3 0 0.4 0.5 0.5 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.5 3.17308 	
0.5 0 0 0 0.4 0 0 0.4 0.5 0.45 0.3 0.5 0.5 0 0.4 0 0.3 0 0.4 0.5 0.5 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.5 3.20484 	
0.5 0 0 0 0.4 0 0 0.4 0.5 0.5 0 0.4 0.5 0 0.4 0 0.25 0 0.4 0.5 0.3 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.5 3.01405 	
0.5 0 0 0 0.4 0 0 0.4 0.5 0.5 0 0.4 0.5 0 0.4 0 0.3 0 0.35 0.5 0.3 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.5 3.01405 	
0.5 0 0 0 0.4 0 0 0.4 0.5 0.5 0 0.4 0.5 0 0.4 0 0.3 0 0.4 0.45 0.3 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.5 3.01405 	
