0.45 0 0 0 0.4 0 0 0.4 0.5 0.4 0 0.4 0.5 0 0.4 0 0.3 0 0.4 0.5 0.2 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.45 2.98184 	
0.5 0 0 0 0.4 0 0 0.4 0.5 0.3 0 0.4 0.5 0 0.4 0 0.3 0 0.4 0.5 0.2 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.5 2.93438 	
0.55 0 0 0 0.4 0 0 0.4 0.5 0.3 0 0.4 0.5 0 0.4 0 0.3 0 0.4 0.5 0.2 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.55 2.91698 	
0.6 0 0 0 0.4 0 0 0.4 0.5 0.3 0 0.4 0.5 0 0.4 0 0.3 0 0.4 0.5 0.2 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.6 2.89793 	
0.65 0 0 0 0.4 0 0 0.4 0.5 0.3 0 0.4 0.5 0 0.4 0 0.3 0 0.4 0.5 0.2 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.65 2.87721 	
0.7 0 0 0 0.4 0 0 0.4 0.5 0.3 0 0.4 0.5 0 0.4 0 0.3 0 0.4 0.5 0.2 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.7 2.85484 	
0.75 0 0 0 0.4 0 0 0.4 0.5 0.3 0 0.4 0.5 0 0.4 0 0.3 0 0.4 0.5 0.2 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.75 2.83081 	
0.8 0 0 0 0.4 0 0 0.4 0.5 0.3 0 0.3 0.5 0 0.4 0 0.3 0 0.4 0.5 0.2 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.8 2.77189 	
0.85 0 0 0 0.4 0 0 0.4 0.5 0.3 0 0.3 0.5 0 0.4 0 0.3 0 0.4 0.5 0.2 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.85 2.74426 	
0.9 0 0 0 0.4 0 0 0.4 0.5 0.3 0 0.3 0.5 0 0.4 0 0.3 0 0.4 0.5 0.2 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.9 2.71496 	
0.95 0 0 0 0.4 0 0 0.4 0.5 0.2 0 0.3 0.5 0 0.4 0 0.3 0 0.4 0.5 0.2 0.5 0.5 0.5 0.2 0 0 0 0.3 0.2 	0.95 2.64978 	
1 0 0 0 0.4 0 0 0.4 0.5 0.2 0 0.3 0.5 0 0.4 0 0.3 0 0.4 0.5 0.2 0.5 0.5 0.5 0.2 0 0 0 0.25 0.2 	1 2.59948 	
