#N	EVALS{+}	VIOL	E/I	HV	MTM	iLOC	IM	DIVFS	INTFS	RDC
1	1{1}	(0)	1	0(1)	1	0	1	0	0	0
1	7{7}	(0)	7	0(1)	3	1	2	0	0	0
2	7{7}	(0)	3	27.1389(1)	3	0	2	0	0	0
2	8{8}	(0)	4	27.1389(1)	1	1	3	0	0	0
3	8{8}	(0)	2	27.1485(1)	1	0	1	0	0	0
3	14{14}	(0)	4	27.1485(1)	2	1	1	0	0	0
4	14{14}	(0)	3	27.158(1)	2	0	1	0	0	0
4	15{15}	(0)	3	27.158(1)	1	1	2	0	0	0
5	15{15}	(0)	3	27.1676(1)	1	0	1	0	0	0
5	21{21}	(0)	4	27.1676(1)	2	1	1	0	0	0
6	21{21}	(0)	3	27.1771(1)	2	0	1	0	0	0
6	22{22}	(0)	3	27.1771(1)	1	1	2	0	0	0
7	22{22}	(0)	3	27.1867(1)	1	0	1	0	0	0
7	28{28}	(0)	4	27.1867(1)	3	1	2	0	0	0
8	28{28}	(0)	3	27.1963(1)	3	0	2	0	0	0
8	29{29}	(0)	3	27.1963(1)	1	1	3	0	0	0
9	29{29}	(0)	3	27.2059(1)	1	0	1	0	0	0
9	35{35}	(0)	3	27.2059(1)	3	1	2	0	0	0
10	35{35}	(0)	3	27.2155(1)	3	0	2	0	0	0
10	36{36}	(0)	3	27.2155(1)	1	1	3	0	0	0
11	36{36}	(0)	3	27.2251(1)	1	0	1	0	0	0
11	42{42}	(0)	3	27.2251(1)	2	1	1	0	0	0
12	42{42}	(0)	3	27.2347(1)	2	0	1	0	0	0
12	43{43}	(0)	3	27.2347(1)	1	1	2	0	0	0
13	43{43}	(0)	3	27.2443(1)	1	0	1	0	0	0
13	49{49}	(0)	3	27.2443(1)	2	1	1	0	0	0
14	49{49}	(0)	3	27.2539(1)	2	0	1	0	0	0
14	50{50}	(0)	3	27.2539(1)	1	1	2	0	0	0
15	50{50}	(0)	3	27.2635(1)	1	0	1	0	0	0
15	56{56}	(0)	3	27.2635(1)	1	1	1	0	0	0
16	56{56}	(0)	3	27.2732(1)	1	0	1	0	0	0
16	57{57}	(0)	3	27.2732(1)	1	1	2	0	0	0
17	57{57}	(0)	3	27.2828(1)	1	0	1	0	0	0
17	63{63}	(0)	3	27.2828(1)	1	1	1	0	0	0
18	63{63}	(0)	3	27.2924(1)	1	0	1	0	0	0
18	64{64}	(0)	3	27.2924(1)	1	1	2	0	0	0
19	64{64}	(0)	3	27.3021(1)	1	0	1	0	0	0
19	70{70}	(0)	3	27.3021(1)	2	1	1	0	0	0
20	70{70}	(0)	3	27.3118(1)	2	0	1	0	0	0
20	71{71}	(0)	3	27.3118(1)	1	1	2	0	0	0
21	71{71}	(0)	3	27.3214(1)	1	0	1	0	0	0
21	77{77}	(0)	3	27.3214(1)	1	1	1	0	0	0
22	77{77}	(0)	3	27.3311(1)	1	0	1	0	0	0
22	78{78}	(0)	3	27.3311(1)	1	1	2	0	0	0
23	78{78}	(0)	3	27.3408(1)	1	0	1	0	0	0
23	84{84}	(0)	3	27.3408(1)	2	1	1	0	0	0
24	84{84}	(0)	3	27.3504(1)	2	0	1	0	0	0
24	85{85}	(0)	3	27.3504(1)	1	1	2	0	0	0
25	85{85}	(0)	3	27.3601(1)	1	0	1	0	0	0
25	91{91}	(0)	3	27.3601(1)	2	1	1	0	0	0
26	91{91}	(0)	3	27.3698(1)	2	0	1	0	0	0
26	92{92}	(0)	3	27.3698(1)	1	1	2	0	0	0
27	92{92}	(0)	3	27.3795(1)	1	0	1	0	0	0
27	98{98}	(0)	3	27.3795(1)	2	1	1	0	0	0
28	98{98}	(0)	3	27.3892(1)	2	0	1	0	0	0
28	99{99}	(0)	3	27.3892(1)	1	1	2	0	0	0
29	99{99}	(0)	3	27.3989(1)	1	0	1	0	0	0
29	105{105}	(0)	3	27.3989(1)	2	1	1	0	0	0
30	105{105}	(0)	3	27.4086(1)	2	0	1	0	0	0
30	106{106}	(0)	3	27.4086(1)	1	1	2	0	0	0
31	106{106}	(0)	3	27.4184(1)	1	0	1	0	0	0
31	112{112}	(0)	3	27.4184(1)	2	1	1	0	0	0
32	112{112}	(0)	3	27.4281(1)	2	0	1	0	0	0
32	113{113}	(0)	3	27.4281(1)	1	1	2	0	0	0
33	113{113}	(0)	3	27.4378(1)	1	0	1	0	0	0
33	119{119}	(0)	3	27.4378(1)	2	1	1	0	0	0
34	119{119}	(0)	3	27.4476(1)	2	0	1	0	0	0
34	120{120}	(0)	3	27.4476(1)	1	1	2	0	0	0
35	120{120}	(0)	3	27.4573(1)	1	0	1	0	0	0
35	126{126}	(0)	3	27.4573(1)	2	1	1	0	0	0
36	126{126}	(0)	3	27.4671(1)	2	0	1	0	0	0
36	127{127}	(0)	3	27.4671(1)	1	1	2	0	0	0
